"Account_Domain","Account_Name","Authentication_Package",ComputerName,"Elevated_Token",EventCode,EventType,Guid,IMPHASH,"Impersonation_Level","Key_Length",Keywords,"Linked_Logon_ID",LogName,"Logon_GUID","Logon_ID","Logon_Process","Logon_Type",MD5,Message,Name,"Network_Account_Domain","Network_Account_Name",OpCode,"Package_Name__NTLM_only_",Privileges,ProcessID,"Process_ID","Process_Name","Read_Operation",RecordNumber,"Restricted_Admin_Mode",SHA256,"Security_ID",SourceName,"Source_Network_Address","Source_Port",SystemTime,TaskCategory,ThreadID,"Transited_Services",Type,UserID,"Virtual_Account","Workstation_Name","_raw","_time",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",xmlns
"NT AUTHORITY",SYSTEM,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x3E7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,51198,,,"S-1-5-18","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 02:27:21 PM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51198
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T21:27:21.000+00:00",,ACCOUNTING1,main,31,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt---\rt_:tt\rt_","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
"NT AUTHORITY",SYSTEM,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x3E7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,51165,,,"S-1-5-18","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 01:26:27 PM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51165
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T20:26:27.000+00:00",,ACCOUNTING1,main,31,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt---\rt_:tt\rt_","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
"NT AUTHORITY",SYSTEM,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x3E7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,51111,,,"S-1-5-18","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 12:47:47 PM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51111
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T19:47:47.000+00:00",,ACCOUNTING1,main,31,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt---\rt_:tt\rt_","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
"NT AUTHORITY",SYSTEM,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x3E7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,51078,,,"S-1-5-18","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 11:53:09 AM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51078
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T18:53:09.000+00:00",,ACCOUNTING1,main,31,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt---\rt_:tt\rt_","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
"NT AUTHORITY",SYSTEM,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x3E7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,51051,,,"S-1-5-18","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 11:20:10 AM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51051
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T18:20:10.000+00:00",,ACCOUNTING1,main,31,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt---\rt_:tt\rt_","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
"NT AUTHORITY",SYSTEM,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x3E7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,51049,,,"S-1-5-18","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 11:20:10 AM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51049
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T18:20:10.000+00:00",,ACCOUNTING1,main,31,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt---\rt_:tt\rt_","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
"NT AUTHORITY",SYSTEM,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x3E7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,51037,,,"S-1-5-18","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 11:07:23 AM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51037
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E7

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T18:07:23.000+00:00",,ACCOUNTING1,main,31,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt---\rt_:tt\rt_","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
ACCOUNTING1,Administrator,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x31755AB,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-21-2020954294-3820947412-549806118-500
	Account Name:		Administrator
	Account Domain:		ACCOUNTING1
	Logon ID:		0x31755AB

Privileges:		SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeSecurityPrivilege,,,,,51034,,,"S-1-5-21-2020954294-3820947412-549806118-500","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 11:07:23 AM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51034
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-21-2020954294-3820947412-549806118-500
	Account Name:		Administrator
	Account Domain:		ACCOUNTING1
	Logon ID:		0x31755AB

Privileges:		SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T18:07:23.000+00:00",,ACCOUNTING1,main,28,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt-------\rt_:t","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
ACCOUNTING1,Administrator,,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x31712A7,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-21-2020954294-3820947412-549806118-500
	Account Name:		Administrator
	Account Domain:		ACCOUNTING1
	Logon ID:		0x31712A7

Privileges:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege",,,,Info,,SeSecurityPrivilege,,,,,51029,,,"S-1-5-21-2020954294-3820947412-549806118-500","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 11:07:21 AM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=51029
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-21-2020954294-3820947412-549806118-500
	Account Name:		Administrator
	Account Domain:		ACCOUNTING1
	Logon ID:		0x31712A7

Privileges:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege","2024-07-03T18:07:21.000+00:00",,ACCOUNTING1,main,28,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt-------\rt_:t","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
"Window Manager","DWM-4",,accounting1,,4672,0,,,,,"Audit Success",,Security,,0x315ED86,,,,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-90-0-4
	Account Name:		DWM-4
	Account Domain:		Window Manager
	Logon ID:		0x315ED86

Privileges:		SeAssignPrimaryTokenPrivilege
			SeAuditPrivilege",,,,Info,,SeAssignPrimaryTokenPrivilege,,,,,50995,,,"S-1-5-90-0-4","Microsoft Windows security auditing.",,,,"Special Logon",,,Information,,,,"07/03/2024 11:04:14 AM
LogName=Security
EventCode=4672
EventType=0
ComputerName=accounting1
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=50995
Keywords=Audit Success
TaskCategory=Special Logon
OpCode=Info
Message=Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-90-0-4
	Account Name:		DWM-4
	Account Domain:		Window Manager
	Logon ID:		0x315ED86

Privileges:		SeAssignPrimaryTokenPrivilege
			SeAuditPrivilege","2024-07-03T18:04:14.000+00:00",,ACCOUNTING1,main,21,"//_::_=====___.===_=_==_____.\r\r:\rt_:tt-----\rt_:tt-","WinEventLog:Security","WinEventLog:Security","ip-10-0-0-207.us-west-2.compute.internal",,,,
